patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_57,"['Agro-forestry areas' 'Arable land' 'Broad-leaved forest'
 'Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_51_57,S2A_MSIL2A_20171221T112501_51_57,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_33,['Pastures' 'Urban fabric'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_33,S2B_MSIL2A_20180421T114349_53_33,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_05_87,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_5_87,S2B_MSIL2A_20170914T093029_5_87,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_05_90,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_5_90,S2B_MSIL2A_20170914T093029_5_90,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_73,"['Broad-leaved forest' 'Mixed forest' 'Transitional woodland, shrub']",validation,Portugal,S1B_IW_GRDH_1SDV_20171221T183435_29SND_51_73,S2A_MSIL2A_20171221T112501_51_73,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_76,['Agro-forestry areas' 'Broad-leaved forest' 'Mixed forest'],validation,Portugal,S1B_IW_GRDH_1SDV_20171221T183435_29SND_51_76,S2A_MSIL2A_20171221T112501_51_76,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_49,['Arable land' 'Coniferous forest' 'Pastures'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_49,S2B_MSIL2A_20180421T114349_53_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_62,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_33_62,S2A_MSIL2A_20170613T101031_33_62,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_19,['Arable land' 'Broad-leaved forest' 'Coniferous forest'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_19,S2B_MSIL2A_20170914T093029_6_19,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_57,['Arable land' 'Pastures'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_57,S2B_MSIL2A_20180421T114349_53_57,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_67,"['Arable land' 'Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_33_67,S2A_MSIL2A_20170613T101031_33_67,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_51_84,['Agro-forestry areas' 'Arable land' 'Broad-leaved forest' 'Mixed forest'],train,Portugal,S1B_IW_GRDH_1SDV_20171221T183435_29SND_51_84,S2A_MSIL2A_20171221T112501_51_84,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,"['Arable land' 'Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_33_69,S2A_MSIL2A_20170613T101031_33_69,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_49,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Inland waters' 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_49,S2A_MSIL2A_20170613T101031_34_49,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_51,['Arable land' 'Coniferous forest' 'Inland waters' 'Urban fabric'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_51,S2A_MSIL2A_20170613T101031_34_51,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_52,"['Arable land' 'Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_52,S2A_MSIL2A_20170613T101031_34_52,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_55,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_34_55,S2A_MSIL2A_20170613T101031_34_55,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_68,['Arable land' 'Pastures' 'Urban fabric'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_68,S2B_MSIL2A_20180421T114349_53_68,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_53_71,['Arable land' 'Broad-leaved forest' 'Pastures'],validation,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_53_71,S2B_MSIL2A_20180421T114349_53_71,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_18,"['Broad-leaved forest' 'Complex cultivation patterns' 'Inland waters'
 'Permanent crops' 'Transitional woodland, shrub']",validation,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_52_18,S2A_MSIL2A_20171221T112501_52_18,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_20,"['Broad-leaved forest' 'Transitional woodland, shrub']",validation,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_52_20,S2A_MSIL2A_20171221T112501_52_20,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_46,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_46,S2B_MSIL2A_20170914T093029_6_46,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_52,"['Arable land' 'Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_52,S2B_MSIL2A_20170914T093029_6_52,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_08,['Inland waters' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063852_29UPU_54_8,S2B_MSIL2A_20180421T114349_54_8,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_62,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_62,S2B_MSIL2A_20170914T093029_6_62,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_64,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_35_64,S2A_MSIL2A_20170613T101031_35_64,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_41,"['Agro-forestry areas' 'Broad-leaved forest'
 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_52_41,S2A_MSIL2A_20171221T112501_52_41,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_42,"['Broad-leaved forest' 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_52_42,S2A_MSIL2A_20171221T112501_52_42,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_11,['Broad-leaved forest' 'Coniferous forest' 'Inland waters' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063852_29UPU_54_11,S2B_MSIL2A_20180421T114349_54_11,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_68,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_68,S2B_MSIL2A_20170914T093029_6_68,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_10,['Broad-leaved forest' 'Inland waters' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063852_29UPU_54_10,S2B_MSIL2A_20180421T114349_54_10,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,['Complex cultivation patterns' 'Mixed forest' 'Pastures' 'Urban fabric'],validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_35_69,S2A_MSIL2A_20170613T101031_35_69,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,"['Broad-leaved forest' 'Complex cultivation patterns' 'Inland waters'
 'Pastures']",validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_35_71,S2A_MSIL2A_20170613T101031_35_71,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_66,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_66,S2B_MSIL2A_20170914T093029_6_66,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_77,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_77,S2B_MSIL2A_20170914T093029_6_77,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_54,"['Agro-forestry areas' 'Arable land' 'Broad-leaved forest'
 'Complex cultivation patterns']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_52_54,S2A_MSIL2A_20171221T112501_52_54,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_56,"['Agro-forestry areas' 'Arable land' 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_52_56,S2A_MSIL2A_20171221T112501_52_56,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_82,['Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_82,S2B_MSIL2A_20170914T093029_6_82,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_52_62,"['Broad-leaved forest' 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064303_29SND_52_62,S2A_MSIL2A_20171221T112501_52_62,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_06_88,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_6_88,S2B_MSIL2A_20170914T093029_6_88,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_68,['Inland wetlands' 'Mixed forest' 'Urban fabric'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_68,S2A_MSIL2A_20170613T101031_37_68,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_69,['Inland wetlands' 'Mixed forest' 'Urban fabric'],validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_69,S2A_MSIL2A_20170613T101031_37_69,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_66,['Arable land' 'Pastures' 'Urban fabric'],test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_54_66,S2B_MSIL2A_20180421T114349_54_66,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_72,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Inland waters' 'Mixed forest' 'Pastures' 'Urban fabric']",validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_37_72,S2A_MSIL2A_20170613T101031_37_72,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_49,['Coniferous forest' 'Inland waters' 'Mixed forest'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_38_49,S2A_MSIL2A_20170613T101031_38_49,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_78,"['Inland waters' 'Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_54_78,S2B_MSIL2A_20180421T114349_54_78,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_81,['Pastures' 'Urban fabric'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_54_81,S2B_MSIL2A_20180421T114349_54_81,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_53_26,"['Arable land' 'Complex cultivation patterns'
 'Industrial or commercial units'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops' 'Transitional woodland, shrub' 'Urban fabric']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_53_26,S2A_MSIL2A_20171221T112501_53_26,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_07_47,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_7_47,S2B_MSIL2A_20170914T093029_7_47,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_86,['Coniferous forest' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_54_86,S2B_MSIL2A_20180421T114349_54_86,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_54_88,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_54_88,S2B_MSIL2A_20180421T114349_54_88,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_48,['Arable land' 'Inland waters' 'Mixed forest'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_48,S2A_MSIL2A_20170613T101031_39_48,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_11,"['Inland waters' 'Moors, heathland and sclerophyllous vegetation'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20180420T063852_29UPU_55_11,S2B_MSIL2A_20180421T114349_55_11,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_56,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_56,S2A_MSIL2A_20170613T101031_39_56,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_19,"['Coniferous forest' 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub']",validation,Ireland,S1A_IW_GRDH_1SDV_20180420T063852_29UPU_55_19,S2B_MSIL2A_20180421T114349_55_19,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_07_81,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_7_81,S2B_MSIL2A_20170914T093029_7_81,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_53_62,"['Broad-leaved forest' 'Moors, heathland and sclerophyllous vegetation'
 'Permanent crops' 'Transitional woodland, shrub']",test,Portugal,S1B_IW_GRDH_1SDV_20171221T183435_29SND_53_62,S2A_MSIL2A_20171221T112501_53_62,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_31,"['Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Transitional woodland, shrub']",test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_31,S2B_MSIL2A_20180421T114349_55_31,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_72,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Urban fabric']",validation,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_39_72,S2A_MSIL2A_20170613T101031_39_72,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_34,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures' 'Transitional woodland, shrub']",test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_34,S2B_MSIL2A_20180421T114349_55_34,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_07_90,"['Complex cultivation patterns' 'Industrial or commercial units'
 'Urban fabric']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_7_90,S2B_MSIL2A_20170914T093029_7_90,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_07_88,['Arable land' 'Complex cultivation patterns' 'Urban fabric'],train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_7_88,S2B_MSIL2A_20170914T093029_7_88,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_08_01,"['Arable land' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_8_1,S2B_MSIL2A_20170914T093029_8_1,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_42,"['Arable land' 'Mixed forest' 'Pastures' 'Transitional woodland, shrub']",test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_42,S2B_MSIL2A_20180421T114349_55_42,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_53_81,['Arable land' 'Broad-leaved forest'],train,Portugal,S1B_IW_GRDH_1SDV_20171221T183435_29SND_53_81,S2A_MSIL2A_20171221T112501_53_81,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_50,"['Arable land' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_50,S2A_MSIL2A_20170613T101031_40_50,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_54_02,"['Broad-leaved forest' 'Coniferous forest' 'Inland waters'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_54_2,S2A_MSIL2A_20171221T112501_54_2,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_62,"['Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Pastures' 'Urban fabric']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_62,S2A_MSIL2A_20170613T101031_40_62,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_54_04,"['Broad-leaved forest' 'Inland waters' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_54_4,S2A_MSIL2A_20171221T112501_54_4,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_65,['Arable land' 'Mixed forest' 'Pastures'],test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_65,S2A_MSIL2A_20170613T101031_40_65,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_54_07,"['Coniferous forest' 'Inland waters' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_54_7,S2A_MSIL2A_20171221T112501_54_7,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_63,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Pastures']",test,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_63,S2B_MSIL2A_20180421T114349_55_63,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_54_12,"['Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Permanent crops' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_54_12,S2A_MSIL2A_20171221T112501_54_12,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_08_29,"['Broad-leaved forest' 'Mixed forest'
 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_8_29,S2B_MSIL2A_20170914T093029_8_29,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_71,['Arable land' 'Pastures'],validation,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_71,S2B_MSIL2A_20180421T114349_55_71,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_72,['Inland waters' 'Pastures'],validation,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_72,S2B_MSIL2A_20180421T114349_55_72,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_74,"['Arable land' 'Inland waters' 'Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",validation,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_74,S2B_MSIL2A_20180421T114349_55_74,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_08_41,"['Arable land' 'Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_8_41,S2B_MSIL2A_20170914T093029_8_41,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_87,"['Arable land' 'Industrial or commercial units'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Urban fabric']",train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_87,S2A_MSIL2A_20170613T101031_40_87,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_54_26,"['Arable land' 'Complex cultivation patterns'
 'Industrial or commercial units' 'Inland waters'
 'Transitional woodland, shrub' 'Urban fabric']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_54_26,S2A_MSIL2A_20171221T112501_54_26,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_40_90,['Mixed forest' 'Pastures'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_40_90,S2A_MSIL2A_20170613T101031_40_90,False,False
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_41_47,"['Arable land' 'Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",test,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_41_47,S2A_MSIL2A_20170613T101031_41_47,False,False
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_54_31,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",test,Portugal,S1A_IW_GRDH_1SDV_20171221T064238_29SND_54_31,S2A_MSIL2A_20171221T112501_54_31,False,False
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_55_88,['Arable land' 'Pastures'],train,Ireland,S1A_IW_GRDH_1SDV_20180420T063917_29UPU_55_88,S2B_MSIL2A_20180421T114349_55_88,False,False
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_08_53,"['Arable land' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEQ_8_53,S2B_MSIL2A_20170914T093029_8_53,False,False
